Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
SRSF1	MYC	Pubmed	Homo sapiens;	;12747840
SRSF2	MYC	Pubmed	Rattus norvegicus	;11085504
SRSF5	MYC	TRED	Homo sapiens	
STAT6	MYC	TRED	Homo sapiens	
STK4	MYC	TRED	Homo sapiens	
STMN1	MYC	TRED	Homo sapiens	
STOM	MYC	TRED	Homo sapiens	
SUMO2	MYC	Pubmed	Rattus norvegicus	;11085504
SURF6	MYC	TRED	Homo sapiens	
SYMPK	MYC	TRED	Homo sapiens	
TCF12	MYC	TRED	Homo sapiens	
TCIRG1	MYC	TRED	Homo sapiens	
TERT	MYC	Pubmed	Homo sapiens;	;14519204
TFRC	MYC	Pubmed	Homo sapiens;	;14519204
TGFB1	MYC	TRED	Homo sapiens	
TGFB2	MYC	TRED	Homo sapiens	
TGFB3	MYC	TRED	Homo sapiens	
THBS1	MYC	Pubmed	Homo sapiens	;14519204
THRAP3	MYC	Pubmed	Homo sapiens	;12747840;12808131;
TLE4	MYC	Pubmed	Rattus norvegicus	;11085504
TMED10	MYC	TRED	Homo sapiens	
TMEM187	MYC	TRED	Homo sapiens	
TMEM5	MYC	TRED	Homo sapiens	
TMF1	MYC	TRED	Homo sapiens	
TMPO	MYC	TRED	Homo sapiens	
TNFAIP1	MYC	TRED	Homo sapiens	
TNFRSF8	MYC	TRED	Homo sapiens	
TOMM20	MYC	TRED	Homo sapiens	
TP53	MYC	Pubmed	Homo sapiens;	;14519204
TPD52	MYC	Pubmed	Rattus norvegicus	;11085504
TPM1	MYC	Pubmed	Rattus norvegicus; Homo sapiens	;14519204;11085504
TPP2	MYC	TRED	Homo sapiens	
TPR	MYC	TRED	Homo sapiens	
TPT1	MYC	TRED	Homo sapiens	
TRAK1	MYC	Pubmed	Rattus norvegicus	;11085504
TRAP1	MYC	Pubmed	Homo sapiens	;11983916
TRIP13	MYC	TRED	Homo sapiens	
TSPO	MYC	Pubmed	Homo sapiens	;11983916;
TTLL3	MYC	TRED	Homo sapiens	
TUBG1	MYC	TRED	Homo sapiens	
TXNDC5	MYC	TRED	Homo sapiens	
TYMS	MYC	Pubmed	Homo sapiens	;12747840;
UBE2C	MYC	Pubmed	Homo sapiens	;12747840
UBE2S	MYC	Pubmed	Rattus norvegicus	;11085504
UBXN8	MYC	TRED	Homo sapiens	
UCN2	MYC	Pubmed	Rattus norvegicus	;11085504
UNG	MYC	Pubmed	Homo sapiens	;9490791
UROD	MYC	TRED	Homo sapiens	
USO1	MYC	TRED	Homo sapiens	
USP11	MYC	TRED	Homo sapiens	
USP4	MYC	TRED	Homo sapiens	
USPL1	MYC	TRED	Homo sapiens	
UXT	MYC	Pubmed	Homo sapiens	;12747840
VAPA	MYC	TRED	Homo sapiens	
VASP	MYC	TRED	Homo sapiens	
VCP	MYC	TRED	Homo sapiens	
VDAC2	MYC	TRED	Homo sapiens	
VGF	MYC	TRED	Homo sapiens	
VHL	MYC	TRED	Homo sapiens	
WRN	MYC	pazar;TRED	Homo sapiens	
WT1	MYC	TRED	Homo sapiens	
YWHAE	MYC	Pubmed	Homo sapiens	;11983916
YWHAH	MYC	TRED	Homo sapiens	
ZFP36L1	MYC	Pubmed	Homo sapiens;	;12747840
ZFP36L2	MYC	TRED	Homo sapiens	
ZFPL1	MYC	TRED	Homo sapiens	
ZMPSTE24	MYC	TRED	Homo sapiens	
ZNF134	MYC	TRED	Homo sapiens	
ZNF259	MYC	TRED	Homo sapiens	
ZNF304	MYC	TRED	Homo sapiens	
ZNF410	MYC	TRED	Homo sapiens	
ZNF451	MYC	TRED	Homo sapiens	
ZXDB	MYC	Pubmed	Rattus norvegicus	;11085504
CKM	MYF5	pazar	Mus musculus	
MYF6	MYF5	pazar	Mus musculus	
NEU1	MYF5	Pubmed	Mus musculus;	;14597183
ACTC1	MYOD1	pazar	Homo sapiens	
CHRNA1	MYOD1	pazar	Mus musculus	
CHRNG	MYOD1	pazar;trrd	Rattus norvegicus; Mus musculus	
CKM	MYOD1	pazar;trrd	Mus musculus	
DES	MYOD1	pazar	Mus musculus	
DMD	MYOD1	pazar;trrd	Homo sapiens; Mus musculus	
MB	MYOD1	pazar	Homo sapiens	
MYF6	MYOD1	pazar	Mus musculus	
MYL1	MYOD1	Pazar	Rattus norvegicus	
MYOG	MYOD1	pazar	Mus musculus	
NEU1	MYOD1	Pubmed	Mus musculus	;14597183
CHRNG	MYOG	pazar;trrd	Rattus norvegicus; Mus musculus	
CKM	MYOG	pazar	Mus musculus	
MYF6	MYOG	pazar;trrd	Mus musculus; Rattus norvegicus	
MYOG	MYOG	pazar	Mus musculus	
MYB	MZF1	pazar	Homo sapiens	
KDR	NANOG	Pubmed	Homo sapiens	;21119109
L1TD1	NANOG	Pubmed	Homo sapiens	;21559406
NR0B1	NANOG	Pubmed	Mus musculus	;20937355
OXT	NCOA2	pazar	Homo sapiens	
OXT	NCOA3	pazar	Homo sapiens	
TRH	NCOR1	pazar	Mus musculus	
PAX4	NEUROG3	Pubmed	Mus musculus	;12837760
SP3	NF1	Pubmed	Homo sapiens	;18342022
CD40LG	NFAM1	pazar	Homo sapiens	
CSF2	NFAM1	pazar	Mus musculus	
IL2	NFAM1	pazar	Mus musculus	
IL4	NFAM1	pazar	Homo sapiens	
IL5	NFAM1	pazar	Mus musculus	
CX3CR1	NFATC1	pazar	Homo sapiens	
FOLH1	NFATC1	pazar	Homo sapiens	pazar_pleiades_20100814
IL12B	NFATC1	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
IL2	NFATC1	pazar	Homo sapiens	pazar_pleiades_20100814
IL5	NFATC1	Pubmed	Homo sapiens	;17270283
ITGB3	NFATC1	pazar	Homo sapiens	pazar_pleiades_20100814
NFATC1	NFATC1	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
OSCAR	NFATC1	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
PTGS2	NFATC1	pazar	Homo sapiens	
TNFSF13B	NFATC1	pazar	Homo sapiens	pazar_pleiades_20100814
CD40LG	NFATC2	pazar	Homo sapiens	pazar_pleiades_20100814
CX3CR1	NFATC2	pazar	Homo sapiens	pazar_pleiades_20100814
ICOS	NFATC2	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
IL21	NFATC2	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
IL2	NFATC2	pazar	Homo sapiens	
IL4	NFATC2	pazar	Homo sapiens	pazar_pleiades_20100814
NFATC1	NFATC2	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
NFATC2	NFATC2	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
PARP1	NFATC2	pazar	Rattus norvegicus	pazar_pleiades_20100814
PTGS2	NFATC2	pazar	Homo sapiens	pazar_pleiades_20100814
TNF	NFATC2	pazar	Homo sapiens	
TNFSF13B	NFATC2	pazar	Homo sapiens	pazar_pleiades_20100814
ABCA3	NFATC3	Pubmed	Homo sapiens; Mus musculus	;17890326
ABCC1	NFE2L2	pazar	Homo sapiens	
ABCC2	NFE2L2	pazar	Mus musculus	
AKR1B3	NFE2L2	pazar	Mus musculus	
AKR1C1	NFE2L2	pazar	Homo sapiens	
ETS1	NFE2L2	pazar	Homo sapiens	
FTH1P16	NFE2L2	pazar	Homo sapiens	
FTL	NFE2L2	pazar	Homo sapiens	
GCLC	NFE2L2	Pubmed	Homo sapiens	;15629866
GCLM	NFE2L2	pazar	Homo sapiens	
GNAI2	NFE2L2	pazar	Homo sapiens	
GPX2	NFE2L2	pazar	Homo sapiens	
GSTA3	NFE2L2	pazar	Mus musculus	
GSTP1	NFE2L2	pazar	Rattus norvegicus	
HMOX1	NFE2L2	pazar	Mus musculus	
MAFG	NFE2L2	pazar	Mus musculus	
NQO1	NFE2L2	pazar	Mus musculus	
NQO2	NFE2L2	pazar	Homo sapiens	
TXN	NFE2L2	pazar	Homo sapiens	
TXNRD1	NFE2L2	pazar	Homo sapiens	
ADORA2A	NFIA	pazar	Rattus norvegicus	
ADRA1B	NFIA	TRED	Rattus norvegicus	
AFP	NFIA	TRED	Rattus norvegicus	
AKR1C14	NFIA	pazar	Rattus norvegicus	
ALB	NFIA	trrd;TRED	Homo sapiens; Mus musculus	
ALDH3A1	NFIA	TRED	Rattus norvegicus	
ALDOA	NFIA	pazar	Homo sapiens	
ARG1	NFIA	TRED	Rattus norvegicus	
COL1A2	NFIA	TRED	Mus musculus	
CYP1A2	NFIA	pazar	Homo sapiens	pazar_pleiades_20100814
CYP2A3	NFIA	TRED	Rattus norvegicus	
DDIT3	NFIA	TRED	Rattus norvegicus	
F9	NFIA	TRED	Homo sapiens	
FN1	NFIA	pazar	Homo sapiens	
GFAP	NFIA	pazar;TRED	Homo sapiens;Rattus norvegicus	
GJB1	NFIA	pazar	Rattus norvegicus	
GOT1	NFIA	trrd;TRED	Rattus norvegicus	
HGF	NFIA	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
MBP	NFIA	TRED	Mus musculus	
MUG1	NFIA	TRED	Rattus norvegicus	
NR3C1	NFIA	TRED	Homo sapiens	
PFKFB1	NFIA	TRED	Rattus norvegicus	
PFKFB2	NFIA	TRED	Rattus norvegicus	
PKLR	NFIA	pazar;TRED	Rattus norvegicus	
RBP1	NFIA	pazar	Homo sapiens	pazar_pleiades_20100814
RGN	NFIA	TRED	Rattus norvegicus	
SLC25A5	NFIA	pazar	Homo sapiens	pazar_pleiades_20100814
SLC2A4	NFIA	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
TAT	NFIA	TRED	Rattus norvegicus	
TDO2	NFIA	TRED	Rattus norvegicus	
TP53	NFIA	pazar;TRED	Homo sapiens;;Rattus norvegicus;	pazar_pleiades_20100814
TPO	NFIA	pazar	Rattus norvegicus	pazar_pleiades_20100814
WAP	NFIA	TRED	Rattus norvegicus	
ACTB	NFIC	pazar	Rattus norvegicus	
ADA	NFIC	TRED	Mus musculus	
AFP	NFIC	TRED	Mus musculus	
AKR1B7	NFIC	TRED	Mus musculus	
AR	NFIC	TRED	Rattus norvegicus	
B4GALT1	NFIC	TRED	Mus musculus	
CCL2	NFIC	TRED	Mus musculus	
CLU	NFIC	TRED	Mus musculus	
COL1A1	NFIC	TRED	Mus musculus	
COL1A2	NFIC	pazar;TRED	Homo sapiens; Mus musculus	
COL2A1	NFIC	TRED	Mus musculus	
COMT	NFIC	TRED	Rattus norvegicus	
CSF1	NFIC	TRED	Mus musculus	
CSH1	NFIC	TRED	Mus musculus	
CYP2A5	NFIC	TRED	Mus musculus	
F7	NFIC	TRED	Mus musculus	
FCGRT	NFIC	TRED	Mus musculus	
GABRA6	NFIC	pazar;TRED	Mus musculus	
GFAP	NFIC	pazar	Rattus norvegicus	pazar_pleiades_20100814;
GNRH1	NFIC	TRED	Rattus norvegicus	
HBB-B1	NFIC	TRED	Mus musculus	
HMGA2	NFIC	TRED	Mus musculus	
HTR3A	NFIC	TRED	Mus musculus	
IGFBP5	NFIC	TRED	Mus musculus	
LDHC	NFIC	TRED	Mus musculus	
MBP	NFIC	TRED	Mus musculus	
MYH11	NFIC	TRED	Mus musculus	
NEFM	NFIC	TRED	Mus musculus	
NR1H3	NFIC	TRED	Mus musculus	
PAH	NFIC	TRED	Mus musculus	
PLAT	NFIC	TRED	Mus musculus	
POMC	NFIC	TRED	Mus musculus	
PRG2	NFIC	TRED	Mus musculus	
PROC	NFIC	pazar	Homo sapiens	
RHO	NFIC	pazar	Rattus norvegicus	
RUNX2	NFIC	TRED	Mus musculus	
SFTPC	NFIC	TRED	Mus musculus	
SGCA	NFIC	TRED	Mus musculus	
SKIV2L	NFIC	TRED	Mus musculus	
SLC2A4	NFIC	pazar	Mus musculus	
SLC9A3	NFIC	TRED	Rattus norvegicus	
SOD2	NFIC	TRED	Mus musculus	
SRSF2	NFIC	pazar	Mus musculus	
TP53	NFIC	TRED	Mus musculus	
WAP	NFIC	TRED	Mus musculus	
ADRA1B	NFIX	TRED	Homo sapiens	
PITX2	NFIX	pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
A2M	NFKB1	TRED	Homo sapiens	
ABCB1	NFKB1	Pubmed	Homo sapiens	;12527911;
ACP5	NFKB1	TRED	Homo sapiens	
ADORA1	NFKB1	TRED	Homo sapiens	
AHRR	NFKB1	TRED	Mus musculus	
AKR1B1	NFKB1	Pubmed	Rattus norvegicus	;14576180;
AKT1	NFKB1	TRED	Mus musculus	
ALOX12	NFKB1	Pazar	Homo sapiens	
APOC3	NFKB1	pazar	Homo sapiens	;
AREG	NFKB1	TRED	Homo sapiens	
AR	NFKB1	TRED	Homo sapiens	
B2M	NFKB1	Pubmed	Homo sapiens	12480693
BCL2A1	NFKB1	pazar	Homo sapiens	;
BCL2L1	NFKB1	TRED	Homo sapiens	
BCL2	NFKB1	pazar;Pubmed	Homo sapiens	12835724
BDKRB1	NFKB1	pazar	Homo sapiens	;
BLK	NFKB1	pazar	Mus musculus;	pazar_ABS;
BRCA2	NFKB1	TRED	Homo sapiens	
CCK	NFKB1	trrd	Rattus norvegicus	S10610;
CCL11	NFKB1	TRED	Homo sapiens	
CCL2	NFKB1	NfiRegulomeDB	Homo sapiens;	;
CCL3	NFKB1	TRED	Homo sapiens	
CCL4	NFKB1	TRED	Homo sapiens	
CCL5	NFKB1	Pubmed	Homo sapiens	;17065335
CCND1	NFKB1	Pubmed	Homo sapiens; Mus musculus	10464245
CD40LG	NFKB1	TRED	Homo sapiens	
CD69	NFKB1	TRED	Homo sapiens	
CD80	NFKB1	TRED	Homo sapiens	
CD83	NFKB1	Pubmed	Homo sapiens	;12182451;
CD86	NFKB1	TRED	Homo sapiens	
CEBPA	NFKB1	Pubmed	Mus musculus;	;21346255
CFB	NFKB1	TRED	Mus musculus	
CFTR	NFKB1	TRED	Homo sapiens	
CHAT	NFKB1	TRED	Mus musculus	
CNTN1	NFKB1	TRED	Homo sapiens	
COL10A1	NFKB1	Pubmed	Rattus norvegicus	;16409866
COL1A1	NFKB1	Pubmed	Homo sapiens	11277268
COL2A1	NFKB1	Pubmed	Rattus norvegicus	;16409866
CSF1	NFKB1	Pubmed	Mus musculus;	;7583532;
CSF2	NFKB1	trrd	Homo sapiens	S3431
CSF3	NFKB1	TRED	Homo sapiens	
CSNK2A1	NFKB1	trrd	Homo sapiens	S6724;
CSNK2A2	NFKB1	TRED	Homo sapiens	
CTSB	NFKB1	TRED	Homo sapiens	
CXCL10	NFKB1	TRED	Mus musculus	
CXCL1	NFKB1	trrd	Homo sapiens	S206;
CXCL2	NFKB1	trrd	Mus musculus	S7912
CXCL3	NFKB1	Trrd	Homo sapiens	S210;
CXCL9	NFKB1	TRED	Mus musculus	
CYP11A1	NFKB1	TRED	Homo sapiens	
CYP19A1	NFKB1	TRED	Homo sapiens	
CYP2C12	NFKB1	TRED	Rattus norvegicus	
EBI3	NFKB1	TRED	Homo sapiens	
ELF3	NFKB1	Pubmed	Homo sapiens	12746898
F3	NFKB1	Pubmed	Homo sapiens	12746898;11057875
F8	NFKB1	TRED	Homo sapiens	
FASLG	NFKB1	TRED	Mus musculus	
FAS	NFKB1	TRED	Homo sapiens	
FBP1	NFKB1	Pubmed	Homo sapiens; Rattus norvegicus	;11023824;
FCGR3A	NFKB1	TRED	Homo sapiens	
FGG	NFKB1	TRED	Rattus norvegicus	
FN1	NFKB1	Pubmed	Homo sapiens	10649441
FTMT	NFKB1	pazar	Mus musculus;	Pazar_oreganno;
GADD45A	NFKB1	TRED	Homo sapiens	
GDNF	NFKB1	TRED	Homo sapiens	
GFAP	NFKB1	pazar	Rattus norvegicus	
GNLY	NFKB1	TRED	Homo sapiens	
HLA-F	NFKB1	TRED	Homo sapiens	
HMOX1	NFKB1	Pubmed	Homo sapiens	;8016102;
HSD11B2	NFKB1	TRED	Homo sapiens	
HTR1A	NFKB1	trrd;pazar	rattus_norvegicus;Rattus norvegicus;;;;Rattus norvegicus	S9475;pazar_pleiades_20100814
ICAM1	NFKB1	Pubmed	Homo sapiens	10553096
IER3	NFKB1	TRED	Homo sapiens	
IFNB1	NFKB1	TRED	Homo sapiens	
IL12B	NFKB1	pazar;TRED	Homo sapiens	
IL15	NFKB1	TRED	Mus musculus	
IL1B	NFKB1	Pubmed	Mus musculus	10080875
IL1RN	NFKB1	TRED	Mus musculus	
IL2	NFKB1	pazar	Homo sapiens	pazar_pleiades_20100814;
IL2RA	NFKB1	Pubmed	Homo sapiens	;8455627;
IL4	NFKB1	Pazar	Homo sapiens	pazar_pleiades_20100814
IL6	NFKB1	Pubmed	Homo sapiens	;11098847;
IL8	NFKB1	TRED	Homo sapiens	
IRF1	NFKB1	Pubmed	Homo sapiens	;12077266;
IRF4	NFKB1	TRED	Homo sapiens	
IRF7	NFKB1	pazar	Homo sapiens	pazar_pleiades_20100814;
IRF8	NFKB1	trrd	Mus musculus;	S862;
KLK3	NFKB1	Pubmed	Homo sapiens; Mus musculus	11909978
KLKB1	NFKB1	TRED	Homo sapiens	
LTA	NFKB1	TRED	Homo sapiens	
LTB	NFKB1	TRED	Homo sapiens	
MAP3K8	NFKB1	TRED	Homo sapiens	
MAPK14	NFKB1	TRED	Homo sapiens	
MAT2A	NFKB1	Pubmed	Homo sapiens;	;14530285
MMP3	NFKB1	TRED	Homo sapiens	
MMP9	NFKB1	pazar;TRED	Homo sapiens; Mus musculus	
MSX1	NFKB1	TRED	Homo sapiens	
MYB	NFKB1	Pubmed	Mus musculus	10602492
MYC	NFKB1	Pubmed	Mus musculus;	;1515224;
N.A	NFKB1	trrd	Mus musculus;	S4378;
NOD2	NFKB1	TRED	Homo sapiens	
NOL3	NFKB1	TRED	Homo sapiens	
NOS2	NFKB1	trrd	Rattus norvegicus	S6399
NPY1R	NFKB1	pazar	Mus musculus;	Pazar_tfe;
PDGFB	NFKB1	Pubmed	Homo sapiens	;15175554;
PECAM1	NFKB1	Pazar	Homo sapiens	
PIGR	NFKB1	TRED	Homo sapiens	
PLA2G2A	NFKB1	TRED	Rattus norvegicus	
PLAU	NFKB1	Pubmed	Homo sapiens	;11689575;
PLAUR	NFKB1	pazar	Homo sapiens	
PPP2R4	NFKB1	TRED	Homo sapiens	
PSG19	NFKB1	Pubmed	Rattus norvegicus	11673260
PTGS2	NFKB1	Pubmed	cc	11082190
PTX3	NFKB1	pazar	Homo sapiens	;
REL	NFKB1	TRED	Homo sapiens	
RRM2B	NFKB1	TRED	Homo sapiens	
SAA1	NFKB1	trrd	Oc	S953
SAA2	NFKB1	Pubmed	Homo sapiens	8244997
SELE	NFKB1	trrd	Homo sapiens	S1328
SERPINA3	NFKB1	NfiRegulomeDB	Homo sapiens	
SMC4	NFKB1	TRED	Homo sapiens	
SOD2	NFKB1	trrd	Rattus norvegicus	S6309;
SPP1	NFKB1	TRED	Rattus norvegicus	
SPRR2A	NFKB1	TRED	Homo sapiens	
TAC1	NFKB1	Pazar	Homo sapiens;;;Homo sapiens;	pazar_pleiades_20100814
TACR1	NFKB1	TRED	Homo sapiens	
TAL1	NFKB1	TRED	Mus musculus	
TERT	NFKB1	TRED	Mus musculus	
TFPI2	NFKB1	Pubmed	Homo sapiens;	;12757776;
THBD	NFKB1	TRED	Homo sapiens	
TLR2	NFKB1	TRED	Mus musculus	
TNC	NFKB1	TRED	Homo sapiens	
TNF	NFKB1	Pubmed	Homo sapiens	10837498
TNNC1	NFKB1	TRED	Homo sapiens	
TP53	NFKB1	Pubmed	Homo sapiens	10348347
TRAF1	NFKB1	trrd	Homo sapiens;	S8386;
UBE2H	NFKB1	TRED	Mus musculus	
VCAM1	NFKB1	trrd	Homo sapiens	S1507
VIM	NFKB1	trrd	Homo sapiens;	S9410;
VWF	NFKB1	TRED	Homo sapiens	
YY1	NFKB1	Pubmed	Mus musculus	;17438126
AKR1B1	NFKB2	Pubmed	Rattus norvegicus	;14576180;
BCL2L1	NFKB2	Pazar	Mus musculus	pazarABS
CD40LG	NFKB2	TRED	Homo sapiens	
CHAT	NFKB2	TRED	Mus musculus	
EGFR	NFKB2	TRED	Homo sapiens	
IL8	NFKB2	pazar;Pubmed	Homo sapiens	pazar_pleiades_20100814;15079071
ORM1	NFKB2	TRED	Rattus norvegicus	
ABCB1B	NFYA	pazar	Mus musculus	
ABCB1	NFYA	pazar	Homo sapiens	
ACTB	NFYA	pazar	Homo sapiens	
AMELX	NFYA	Pubmed	Mus musculus	;16595692
CDC25A	NFYA	Pubmed	Homo sapiens	;16598773
E2F1	NFYA	Pubmed	Mus musculus	;20952509
FDPS	NFYA	Pubmed	Homo sapiens	;7665553
GPAM	NFYA	Pubmed	Mus musculus	;9054427
HMGCS1	NFYA	Pubmed	Homo sapiens	;7665553
LPL	NFYA	pazar	Homo sapiens	
MCM8	NFYA	Pubmed	Homo sapiens; Rattus norvigecus	;16325355
PNRC2	NFYA	Pubmed	Mus musculus	;16181749
PURA	NFYA	Pubmed	Homo sapiens	;21062477
SP3	NFYA	pazar	Homo sapiens	
SREBF1	NFYA	Pubmed	Rattus norvegicus	;15330762
SREBF2	NFYA	Pubmed	Homo sapiens	;8900111
STAR	NFYA	Pubmed	Rattus norvegicus	;11861536
TM7SF2	NFYA	Pubmed	Homo sapiens	;20138239
ACTB	NFYB	pazar	Homo sapiens	
ATP1A3	NFYB	pazar	Homo sapiens	
ABCA3	NKX2-1	Pubmed	Homo sapiens; Mus musculus	;17890326
AFP	NKX2-1	pazar	Homo sapiens	
GJA5	NKX2-1	pazar	Mus musculus	
SCGB1A1	NKX2-1	Pubmed	Mus musculus	;12161423
SFTPC	NKX2-1	NfiRegulomeDB	Mus musculus	
SLC5A5	NKX2-1	pazar	Rattus norvegicus	
TG	NKX2-1	pazar	Mus musculus	
TPO	NKX2-1	pazar	Mus musculus	
INS2	NKX2-2	pazar	Mus musculus	
MAFA	NKX2-2	pazar	Mus musculus	
MBP	NKX2-2	pazar	Mus musculus	
ADAM19	NOTCH1	Pubmed	Mus musculus;	;10933396
ASCL1	NOTCH1	Pubmed	Mus musculus; Homo sapiens	;9102301;9133387;11306509
BCL2	NOTCH1	Pubmed	Mus musculus;	;9881968
CASP3	NOTCH1	Pubmed	Mus musculus;	;15068794
CD8A	NOTCH1	Pubmed	Mus musculus;	;9881968
CDH2	NOTCH1	Pubmed	Homo sapiens; Mus musculus	;16618740
CDKN1A	NOTCH1	Pubmed	Homo sapiens;	;11306509;14670925
CR2	NOTCH1	Pubmed	Mus musculus;	;10644343
CSF1	NOTCH1	Pubmed	Mus musculus;	;12411305
DTX1	NOTCH1	Pubmed	Mus musculus;	;10933396;9881968;15356142
GATA2	NOTCH1	Pubmed	Mus musculus; Homo sapiens	;15689374;11719365
GATA3	NOTCH1	Pubmed	Mus musculus;	;15356142;17658279
HES1	NOTCH1	Pubmed	Mus musculus; Homo sapiens	;10933396;12814948;7566092;10066785;10205173;9819428;11120788;10520600
HES5	NOTCH1	Pubmed	Mus musculus;	;10205173;10520600;10205173
HEY1	NOTCH1	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;12814948;14739937;11486045;10964718;11486044;11971902
HEY2	NOTCH1	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;12814948;11486045;11486044;11971902;11095750;11741889
IFI204	NOTCH1	Pubmed	Mus musculus;	;10933396
IFI205	NOTCH1	Pubmed	Mus musculus;	;10933396
IGHM	NOTCH1	Pubmed	Mus musculus;	;10644343
IGH@	NOTCH1	Pubmed	Homo sapiens;	;11207282
MCM2	NOTCH1	Pubmed	Homo sapiens;	;15976316
MCM6	NOTCH1	Pubmed	Homo sapiens;	;15976316
MYC	NOTCH1	Pubmed	Mus musculus;	;10644343;16847353
MYH11	NOTCH1	Pubmed	Homo sapiens;	;15987768
MYOD1	NOTCH1	Pubmed	Mus musculus; Homo sapiens	;10066785;12050162
NFKB1	NOTCH1	Pubmed	Mus musculus;	;11591772
NFKB2	NOTCH1	Pubmed	Homo sapiens;	;9528780;11115605
NRARP	NOTCH1	Pubmed	Mus musculus;	;15325262;11783997
PSEN1	NOTCH1	Pubmed	Homo sapiens;	;12960155
RELA	NOTCH1	Pubmed	Mus musculus;	;11591772
RELB	NOTCH1	Pubmed	Mus musculus;	;11591772
REL	NOTCH1	Pubmed	Mus musculus;	;11591772
REN	NOTCH1	Pubmed	Rattus norvegicus	;15792957
SMTN	NOTCH1	Pubmed	Homo sapiens;	;15987768
TAGLN	NOTCH1	Pubmed	Mus musculus;	;15634680
TCF7	NOTCH1	Pubmed	Mus musculus;	;15356142
TNFRSF11B	NOTCH1	Pubmed	Mus musculus;	;12411305
TNFSF11	NOTCH1	Pubmed	Mus musculus;	;12411305
TRA@	NOTCH1	Pubmed	Mus musculus;	;9881968
TRB@	NOTCH1	Pubmed	Mus musculus;	;9881968;15356142
ASCL1	NOTCH2	Pubmed	Mus musculus; Homo sapiens	;9102301;9133387;11306509
CDKN1A	NOTCH2	Pubmed	Homo sapiens;	;11306509;14670925
CDKN1B	NOTCH2	Pubmed	Homo sapiens;	;11306509
FCER2	NOTCH2	Pubmed	Homo sapiens;	;11986231
HEY1	NOTCH3	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;12814948;14739937;11486045;10964718;11486044;11971902
HEY2	NOTCH3	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;12814948;11486045;11486044;11971902;11095750;11741889
DLL4	NOTCH4	Pubmed	Homo sapiens;	;12814948
HES1	NOTCH4	Pubmed	Mus musculus; Homo sapiens	;10933396;12814948;7566092;10066785;10205173;9819428;11120788;10520600
HEY1	NOTCH4	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;12814948;14739937;11486045;10964718;11486044;11971902
HEY2	NOTCH4	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;12814948;11486045;11486044;11971902;11095750;11741889
ABCA1	NR1H2	Pubmed	Homo sapiens	;19258656
ABCG1	NR1H2	Pubmed	Homo sapiens	;19258656
ABCG5	NR1H2	Pubmed	Homo sapiens	;19258656
ABCG8	NR1H2	Pubmed	Homo sapiens	;19258656
APOE	NR1H2	Pubmed	Homo sapiens	;19258656
BHLHE40	NR1H2	Pubmed	Homo sapiens; Mus musculus	;19032342
CD36	NR1H2	Pubmed	Homo sapiens	;19258656
CYP7A1	NR1H2	Pubmed	Rattus norvegicus	;12917410
CYP7B1	NR1H2	Pubmed	Mus musculus;	;18055760
ENHO	NR1H2	Pubmed	Mus musculus;	;19041763
FBP1	NR1H2	Pubmed	Homo sapiens	;19258656
G6PC	NR1H2	Pubmed	Homo sapiens	;19258656
INSIG2	NR1H2	Pubmed	Rattus norvegicus	;15637161
PCK2	NR1H2	Pubmed	Homo sapiens	;19258656
PLTP	NR1H2	Pubmed	Homo sapiens	;19258656
SCD	NR1H2	Pubmed	Mus musculus;	;19066317
SREBF1	NR1H2	Pubmed	Homo sapiens	;19258656
ABCA1	NR1H3	Pubmed	Homo sapiens	;19258656
ABCG1	NR1H3	Pubmed	Homo sapiens	;19258656
ABCG5	NR1H3	Pubmed	Homo sapiens	;19258656
ABCG8	NR1H3	Pubmed	Homo sapiens	;19258656
APOE	NR1H3	Pubmed	Homo sapiens	;19258656
BHLHE40	NR1H3	Pubmed	Homo sapiens; Mus musculus	;19032342
CD36	NR1H3	Pubmed	Homo sapiens	;19258656
CYP7A1	NR1H3	Pubmed	Rattus norvegicus	;12917410
CYP7B1	NR1H3	Pubmed	Mus musculus;	;18055760
ENHO	NR1H3	Pubmed	Mus musculus;	;19041763
FBP1	NR1H3	Pubmed	Homo sapiens	;19258656
G6PC	NR1H3	Pubmed	Homo sapiens	;19258656
